No;Tanggal;Keterangan;PCS;Harga;Jumlah;;;;
292;11/10/2023;Silkop ST 3;1; Rp125,000 ; Rp125,000 ;;;;
293;16/10/2023; Oil, Filter Minyak, Oil Fiston dll ;1; Rp1,358,000 ; Rp1,358,000 ;;;;
294;16/10/2023;Tabung gas ;1; Rp120,000 ; Rp120,000 ;;;;
295;18/10/2023;Kabel 2,5 Xl dan sutp;1; Rp156,000 ; Rp156,000 ;;;;
296;18/10/2023;Aki, kepala aki dll;1; Rp405,000 ; Rp405,000 ;;;;
297;18/10/2023; Dinamo, ganti armarture dll ;1; Rp1,150,000 ; Rp1,150,000 ;;;;
298;19/10/2023; 10 biji ban ;1; Rp350,000 ; Rp350,000 ;;;;
299;25/10/2023; Galon  ;1; Rp100,000 ; Rp100,000 ;;;;
300;25/10/2023; Solar ;1; Rp337,500 ; Rp337,500 ;;;;
301;25/10/2023;FC 1005,PM 2020 dll;1; Rp2,115,000 ; Rp2,115,000 ;;;;
302;25/10/2023;B 90 X 60;1; Rp100,000 ; Rp100,000 ;;;;
303;25/10/2023;Sepatu bot;1; Rp100,000 ; Rp100,000 ;;;;
304;25/10/2023;Tali 32 M;1; Rp875,000 ; Rp875,000 ;;;;
305;25/10/2023;Besi NGK;1; Rp50,000 ; Rp50,000 ;;;;
306;25/10/2023;Lakban Bambi,Lakban Hitam;1; Rp100,000 ; Rp100,000 ;;;;
307;25/10/2023; Majun ;1; Rp99,000 ; Rp99,000 ;;;;
308;25/10/2023;Ganti aki mobil Strada;1; Rp1,305,000 ; Rp1,305,000 ;;;;
309;25/10/2023;Bantal Guling kapuk;1; Rp100,000 ; Rp100,000 ;;;;
310;25/10/2023;Cat Suny merah, Seyel 5/8;1; Rp700,000 ; Rp700,000 ;;;;
311;25/10/2023; Bulu kuas rol, K ring, lem Gasket dll ;1; Rp434,000 ; Rp434,000 ;;;;
312;25/10/2023;Baut s5;1; Rp242,500 ; Rp242,500 ;;;;
313;25/10/2023;Mika;1; Rp425,000 ; Rp425,000 ;;;;
314;26/10/2023;Melubangi baut;1; Rp50,000 ; Rp50,000 ;;;;
315;28/10/2023;over sock dll;1; Rp279,000 ; Rp279,000 ;;;;
316;28/10/2023;pembelian kuler laporkan;1; Rp2,750,000 ; Rp2,750,000 ;;;;
317;30/10/2023;Ban 11 biji X 35,000;1; Rp385,000 ; Rp385,000 ;;;;
318;01/11/2023;Kabel;1; Rp230,502 ; Rp230,502 ;;;;
319;03/11/2023;Pertalite;1; Rp200,000 ; Rp200,000 ;;;;
320;04/11/2023;RB 3,2 ml;1; Rp165,000 ; Rp165,000 ;;;;
321;04/11/2012;Stempel dan tanda tangan;1; Rp250,000 ; Rp250,000 ;;;;
322;08/11/2023;Buli dll;1; Rp200,000 ; Rp200,000 ;;;;
323;09/11/2023;BLM 1x5 Baju;1; Rp93,400 ; Rp93,400 ;;;;
324;09/11/2023;K Sok 3/4 tkr 06 pt 38;1; Rp105,000 ; Rp105,000 ;;;;
325;30/11/2023;Oli pertamina sae 40 2 DRUM @5,200,000;1; Rp10,400,000 ; Rp10,400,000 ;;;;
326;30/11/2023;Cat merah, hitam dan putih;1; Rp1,250,000 ; Rp1,250,000 ;;;;
327;01/12/2023;Radio HT;1; Rp600,000 ; Rp600,000 ;;;;
328;01/12/2023;Stang blender;1; Rp245,000 ; Rp245,000 ;;;;
329;01/12/2023;Segel Omeha 2 PCS @Rp.250,000,-;1; Rp500,000 ; Rp500,000 ;;;;
330;01/12/2023;Nyyhy 10meter;1; Rp64,000 ; Rp64,000 ;;;;
331;01/12/2023;Philip led dll;1; Rp437,050 ; Rp437,050 ;;;;
332;01/12/2023; Pompa clp aki ryu ;1; Rp275,000 ; Rp275,000 ;;;;
333;01/12/2023;RC 1085;1; Rp320,000 ; Rp320,000 ;;;;
334;01/12/2023; Rol Kuas kapal, Majun dll ;1; Rp465,000 ; Rp465,000 ;;;;
335;01/12/2023;Plister;1; Rp30,000 ; Rp30,000 ;;;;
336;01/12/2023;Parang rumput;1; Rp25,000 ; Rp25,000 ;;;;
337;02/12/2023; Alternator ME 24 Vilt, material dan cleaning ;1; Rp300,000 ; Rp300,000 ;;;;
338;02/12/2023;Laminating;1; Rp40,000 ; Rp40,000 ;;;;
339;04/12/2023;Alternator ME 24 Volt, material dan ganti regulator + jasa service;1; Rp750,000 ; Rp750,000 ;;;;
340;04/12/2023;Pel jepit aluminium;1; Rp60,000 ; Rp60,000 ;;;;
341;04/12/2023;G5 Golt Primer 2 / @Rp, 2,250,000,- ;1; Rp4,500,000 ; Rp4,500,000 ;;;;
342;13/12/2023;Laminating F4;1; Rp18,000 ; Rp18,000 ;;;;
343;13/12/2023;Gerbox, baut dll;1; Rp345,000 ; Rp345,000 ;;;;
344;13/12/2023;Pergantian pembelian orang kapal;1; Rp350,000 ; Rp350,000 ;;;;
345;16/12/2023;Hpp s1110 rdn;1; Rp50,000 ; Rp50,000 ;;;;
346;16/12/2023;Gemuk cobtu 2 x @65,000 ;1; Rp130,000 ; Rp130,000 ;;;;
347;16/12/2023;Majun warna;1; Rp60,000 ; Rp60,000 ;;;;
348;16/12/2023;Radio HT Voxbar V-35;1; Rp600,000 ; Rp600,000 ;;;;
349;16/12/2023;Radio HT Voxbar UV-Xr;1; Rp750,000 ; Rp750,000 ;;;;
350;18/12/2023;Kompa;1; Rp2,750,000 ; Rp2,750,000 ;;;;
351;18/12/2023;Nepal king;1; Rp125,000 ; Rp125,000 ;;;;
352;20/12/2023;Dinamo starter;1; Rp300,000 ; Rp300,000 ;;;;
353;22/12/2023;Pakup dll;1; Rp60,000 ; Rp60,000 ;;;;
354;26/12/2023;B 42 bando;1; Rp85,000 ; Rp85,000 ;;;;
355;27/12/2023;Kwitansi 1 pak + bbm adi;1; Rp50,000 ; Rp50,000 ;;;;
356;28/12/2023;Beli gergaji, kuas dll;1; Rp250,000 ; Rp250,000 ;;;;
357;28/12/2023;Gergaji;1; Rp40,000 ; Rp40,000 ;;;;
358;28/12/2023;Kuas;1; Rp25,000 ; Rp25,000 ;;;;
359;28/12/2023;Klem besi;1; Rp24,000 ; Rp24,000 ;;;;
360;28/12/2023;Nepel king 1 1/2, klam 2 1/4;1; Rp99,000 ; Rp99,000 ;;;;
361;28/12/2023;Nepel king 1 1/2, klam 1 1/2;1; Rp150,000 ; Rp150,000 ;;;;
362;29/12/2023;Cai sun set, Segel Dapra dan tali;1; Rp750,000 ; Rp750,000 ;;;;
363;29/12/2023;Aladin new 6w luby, dll;1; Rp435,000 ; Rp435,000 ;;;;
364;29/12/2023;Bulgari, B.41 Bandu, Carbon st3 dll;1; Rp251,000 ; Rp251,000 ;;;;
365;29/12/2023;Alternator ME DELCo REMY;1; Rp250,000 ; Rp250,000 ;;;;
366;30/12/2023;Cat Suny putih, kawat las;1; Rp400,000 ; Rp400,000 ;;;;
